Gre_Range,College_name,College_Site
333-340,Massachusetts Institute of Technology,www.mit.edu
333-340,Stanford University,www.stanford.edu
333-340,University of California- Berkeley,www.berkeley.edu
333-340,University of Illinois -Urbana Champaign,www.uiuc.edu
333-340,University of Michigan Ann Arbor,www.umich.edu
333-340,Cornell University,www.cornell.edu
333-340,University of Texas at Austin,www.utexas.edu
333-340,University of Maryland -College park,www.umd.edu
333-340,University of California -San Diego,www.ucsd.edu
333-340,California Institute of Technology,www.caltech.edu
333-340,University of Wisconsin- Madison,www.wisc.edu
333-340,University of California Los Angles,www.ucla.edu
333-340,Harvard University,www.harvard.edu
333-340,Carnegie Mellon University,www.cmu.edu
326-332,Purdue University -West Lafayette,www.purdue.edu
326-332,Princeton University,www.princeton.edu
326-332,Pennsylvania State University -Univ Park,www.psu.edu
326-332,Georgia Institute of Technology,www.gatech.edu
326-332,Virginia poly Tech,www.vt.edu
326-332,Texas A & M College Station,www.tamu.edu
326-332,Duke University,www.duke.edu
326-332,University of Washington -Seattle,www.washington.edu
326-332,University of Minnesota,www.umn.edu
326-332,Columbia University,www.columbia.edu
326-332,Yale University,www.yale.edu
326-332,Ohio State University,www.osu.edu
326-332,University of Pittsburgh,www.pitt.edu
326-332,Brown university (RI),www.brown.edu
326-332,John Hopkins University,www.jhu.edu
326-332,North Carolina State University,www.ncsu.edu
326-332,"Dartmouth College, NH",www.dartmouth.edu
326-332,Iowa State University,www.iastate.edu
326-332,University of California- Santa Barbara,www.ucsb.edu
326-332,Case Western Reserve University,www.cwru.edu
326-332,Northwestern University (IL),www.northwestern.edu
326-332,Arizona State University,www.asu.edu
326-332,University of Iowa,www.uiowa.edu
326-332,"Rutgers, State Univ of NJ, New Brunswick",www.rutgers.edu
326-332,Rice University,www.rice.edu
326-332,University of Rochester,www.rochester.edu
326-332,University of Virginia,www.virginia.edu
326-332,University of Pennsylvania,www.upenn.edu
321-325,University of Delaware,www.udel.edu
321-325,University of California -Davis,www.ucdavis.edu
321-325,University of Colorado -Boulder,www.colorado.edu
321-325,University of Notre Dame,www.nd.edu
321-325,University of Chicago,www.uchicago.edu
